County,Cases,Deaths
Adams,4,0
Allen,108,17
Ashland,5,0
Ashtabula,107,10
Athens,3,1
Auglaize,30,3
Belmont,101,6
Brown,11,1
Butler,216,4
Carroll,20,1
Champaign,12,1
Clark,32,1
Clermont,77,2
Clinton,27,0
Columbiana,219,18
Coshocton,16,0
Crawford,39,0
Cuyahoga,1867,91
Darke,75,12
Defiance,19,1
Delaware,138,3
Erie,47,3
Fairfield,110,2
Fayette,13,0
Franklin,1839,49
Fulton,19,0
Gallia,6,1
Geauga,128,14
Greene,41,3
Guernsey,15,0
Hamilton,975,53
Hancock,34,1
Hardin,23,0
Harrison,2,0
Henry,4,0
Highland,8,0
Hocking,11,1
Holmes,5,1
Huron,27,1
Jackson,4,0
Jefferson,35,1
Knox,15,1
Lake,157,7
Lawrence,22,0
Licking,108,4
Logan,18,0
Lorain,374,19
Lucas,1033,59
Madison,51,3
Mahoning,721,66
Marion,2172,4
Medina,153,13
Meigs,2,0
Mercer,18,1
Miami,135,25
Monroe,2,0
Montgomery,256,8
Morgan,4,0
Morrow,26,0
Muskingum,11,0
Noble,4,0
Ottawa,37,0
Paulding,8,0
Perry,12,0
Pickaway,1662,5
Pike,3,0
Portage,214,31
Preble,25,1
Putnam,51,5
Richland,77,1
Ross,35,1
Sandusky,20,2
Scioto,6,0
Seneca,12,1
Shelby,30,1
Stark,303,34
Summit,475,35
Trumbull,287,23
Tuscarawas,48,0
Union,18,0
Van Wert,3,0
Warren,131,10
Washington,93,8
Wayne,100,20
Williams,27,1
Wood,132,15
Wyandot,24,2
Total,15587,708
