County,Cases,Deaths
Adams,3,0
Allen,73,5
Ashland,5,0
Ashtabula,41,3
Athens,3,1
Auglaize,24,1
Belmont,62,3
Brown,8,1
Butler,172,3
Carroll,16,0
Champaign,7,1
Clark,28,1
Clermont,69,2
Clinton,26,0
Columbiana,163,9
Coshocton,16,0
Crawford,29,0
Cuyahoga,1541,47
Darke,62,10
Defiance,15,0
Delaware,122,3
Erie,25,1
Fairfield,101,1
Fayette,13,0
Franklin,1293,31
Fulton,14,0
Gallia,6,1
Geauga,102,2
Greene,38,1
Guernsey,13,0
Hamilton,698,36
Hancock,30,1
Hardin,12,0
Harrison,3,0
Henry,3,0
Highland,7,0
Hocking,7,0
Holmes,4,0
Huron,16,1
Jackson,4,0
Jefferson,23,0
Knox,12,1
Lake,138,6
Lawrence,20,0
Licking,98,3
Logan,13,0
Lorain,261,8
Lucas,781,44
Madison,31,3
Mahoning,559,44
Marion,175,0
Medina,133,10
Meigs,2,0
Mercer,15,1
Miami,130,23
Monroe,2,0
Montgomery,249,9
Morgan,3,0
Morrow,18,0
Muskingum,9,0
Noble,4,0
Ottawa,15,0
Paulding,8,0
Perry,9,0
Pickaway,227,1
Pike,1,0
Portage,178,27
Preble,25,1
Putnam,15,0
Richland,57,1
Ross,25,0
Sandusky,17,2
Scioto,5,0
Seneca,12,1
Shelby,28,0
Stark,233,20
Summit,358,19
Trumbull,248,14
Tuscarawas,39,0
Union,16,0
Van Wert,2,0
Warren,95,3
Washington,52,4
Wayne,81,10
Williams,20,0
Wood,82,5
Wyandot,18,2
Total,9416,427
