County,Cases,Deaths
Adams,4,0
Allen,87,9
Ashland,5,0
Ashtabula,66,3
Athens,3,1
Auglaize,26,2
Belmont,69,3
Brown,9,1
Butler,184,4
Carroll,18,0
Champaign,8,1
Clark,29,1
Clermont,76,2
Clinton,26,0
Columbiana,198,14
Coshocton,16,0
Crawford,34,0
Cuyahoga,1630,64
Darke,62,10
Defiance,15,0
Delaware,128,3
Erie,38,1
Fairfield,107,2
Fayette,13,0
Franklin,1505,36
Fulton,16,0
Gallia,6,1
Geauga,110,5
Greene,41,2
Guernsey,14,0
Hamilton,785,39
Hancock,31,1
Hardin,17,0
Harrison,2,0
Henry,4,0
Highland,7,0
Hocking,8,0
Holmes,5,0
Huron,22,1
Jackson,4,0
Jefferson,27,0
Knox,13,1
Lake,147,6
Lawrence,21,0
Licking,102,4
Logan,13,0
Lorain,318,17
Lucas,888,53
Madison,35,3
Mahoning,634,57
Marion,2042,1
Medina,143,10
Meigs,2,0
Mercer,16,1
Miami,132,23
Monroe,2,0
Montgomery,255,10
Morgan,3,0
Morrow,23,0
Muskingum,9,0
Noble,4,0
Ottawa,33,0
Paulding,8,0
Perry,10,0
Pickaway,356,4
Pike,2,0
Portage,187,32
Preble,25,1
Putnam,41,0
Richland,69,1
Ross,31,0
Sandusky,20,2
Scioto,6,0
Seneca,12,1
Shelby,28,0
Stark,267,25
Summit,401,27
Trumbull,269,16
Tuscarawas,43,0
Union,18,0
Van Wert,3,0
Warren,106,5
Washington,65,8
Wayne,97,12
Williams,26,1
Wood,94,8
Wyandot,21,2
Total,12495,537
